uniqueID,house
Edwards1842,reps
Edwards1945,reps
Eggins1898,reps
Einfeld1909,reps
Eldridge1872,reps
Ellicott1927,reps
Elliot1967,reps
Elliott1954,reps
Ellis1946,reps
Ellis1977,reps
Elson1947,reps
Emerson1954,reps
Enderby1926,reps
England1911,reps
Entsch1950,reps
Erwin1917,reps
Evans1944,reps
EvansMartyn1953,reps
EvansRichard1953,reps
Evans1981,reps
Evatt1894,reps
Everingham1923,reps
Everingham1943,reps
Ewert1918,reps
Ewing1856,reps
Fadden1894,reps
Fahey1945,reps
Failes1899,reps
Fairbairn1917,reps
Fairbairn1855,reps
Fairbairn1897,reps
Fairhall1909,reps
Falconer1943,reps
Falinski1970,reps
Falkinder1921,reps
Falkiner1867,reps
Falstein1914,reps
Farmer1962,reps
Fatin1941,reps
Fawcett1963,reps
Feeney1970,reps
Fenton1864,reps
Ferguson1952,reps
Ferguson1953,reps
Ferguson1974,reps
Fife1929,reps
Filing1955,reps
Finlayson1867,reps
Fischer1946,reps
Fisher1862,reps
Fisher1936,reps
Fisken1897,reps
Fitzgerald1912,reps
Fitzgibbon1936,reps
Fitzgibbon1962,reps
FitzPatrick1915,reps
Fleming1874,reps
Fletcher1965,reps
Flint1978,reps
Foley1873,reps
Forbes1923,reps
Ford1936,reps
Forde1890,reps
Forrest1847,reps
Forrest1949,reps
Foster1872,reps
Foster1921,reps
Foster1856,reps
Fowler1865,reps
Fox1912,reps
Foxton1849,reps
Francis1881,reps
Francis1873,reps
Francis1890,reps
Fraser1902,reps
Fraser1908,reps
Fraser1930,reps
Frazer1880,reps
Free1943,reps
Freelander1953,reps
Freeth1914,reps
Frost1881,reps
Fry1920,reps
Frydenberg1971,reps
Fuller1893,reps
Fuller1861,reps
Fulton1909,reps
Fysh1835,reps
Gabb1882,reps
Gaha1894,reps
Gallus1943,reps
Galvin1911,reps
Gambaro1958,reps
Gander1888,reps
Garden1882,reps
Gardner1884,reps
Garland1934,reps
Garrett1953,reps
Garrick1918,reps
Gash1944,reps
Gayler1943,reps
Gear1947,reps
Gee1968,reps
Gellibrand1872,reps
Georganas1959,reps
George1947,reps
Georgiou1947,reps
Gerick1963,reps
Gibb1843,reps
Gibbons1887,reps
Gibbons1949,reps
Gibbs1922,reps
Gibson1935,reps
Gibson1954,reps
Gibson1869,reps
Giles1973,reps
Giles1923,reps
Gillard1961,reps
Gillard1920,reps
Gillespie1957,reps
Gilmore1908,reps
Glynn1855,reps
Goodenough1975,reps
Goodluck1933,reps
Gordon1865,reps
Gorman1984,reps
Gorman1926,reps
Gorton1911,reps
Gosling1971,reps
Grace1931,reps
Grace1940,reps
Graham1919,reps
Grassby1926,reps
Gray1958,reps
Gray1908,reps
Grayden1920,reps
Green1869,reps
Green1885,reps
Greenup1915,reps
Gregory1860,reps
Grierson1951,reps
Griffin1960,reps
Griffiths1952,reps
Griffiths1903,reps
Griggs1969,reps
Groom1852,reps
Groom1867,reps
Groom1944,reps
Groom1833,reps
Gullett1914,reps
Gullett1878,reps
Gun1936,reps
Guy1890,reps
Haase1945,reps
Hadley1893,reps
Halbert1910,reps
Hale1969,reps
Hall1874,reps
Hall1949,reps
Hall1928,reps
Hallett1917,reps
Halverson1937,reps
Hamer1923,reps
Hamilton1899,reps
Hammond1975,reps
Hampson1865,reps
Hand1942,reps
Handby1903,reps
Hannan1873,reps
Hansen1922,reps
Hanson1954,reps
Hardgrave1960,reps
Harding1921,reps
Harper1842,reps
Harris1937,reps
Harrison1903,reps
Harrison1880,reps
Harrison1892,reps
Hart1960,reps
Hartnoll1841,reps
Hartsuyker1959,reps
Harvey1946,reps
Haslem1939,reps
Hasluck1905,reps
Hastie1982,reps
Hatton1951,reps
Haviland1952,reps
Hawke1977,reps
Hawke1929,reps
Hawker1894,reps
Hawker1949,reps
Haworth1905,reps
Hay1865,reps
Hayden1933,reps
Hayes1955,reps
Haylen1899,reps
Hedges1856,reps
Heitmann1878,reps
Henderson1964,reps
Hendy1962,reps
Henry1946,reps
Henzell1948,reps
Hewson1914,reps
Hewson1946,reps
Hicks1940,reps
Higgins1851,reps
Higgs1862,reps
Hill1973,reps
Hill1866,reps
Hoare1963,reps
Hockey1965,reps
Hodges1937,reps
Hodgman1938,reps
Hogan1963,reps
Holder1850,reps
Holding1931,reps
Hollis1938,reps
Holloway1875,reps
Holman1871,reps
Holt1908,reps
Holt1914,reps
Holten1922,reps
Horne1939,reps
Howard1939,reps
Howarth1972,reps
Howe1936,reps
Howe1861,reps
Howroyd1867,reps
Howse1913,reps
Howse1863,reps
Howson1919,reps
Hughes1923,reps
Hughes1862,reps
Hull1954,reps
Hulls1957,reps
Hulme1907,reps
Humphreys1934,reps
Hunt1965,reps
Hunt1928,reps
Hunter1882,reps
Hurford1931,reps
Hurry1868,reps
Husar1980,reps
Husic1970,reps
Hutchin1887,reps
Hutchinson1965,reps
Hutchinson1904,reps
Hutchison1859,reps
Hyde1936,reps
Innes1925,reps
Irons1958,reps
Irvine1857,reps
Irvine1858,reps
Irwin1951,reps
Irwin1898,reps
Isaacs1855,reps
Jack1892,reps
Jackson1889,reps
Jackson1962,reps
Jacobi1928,reps
Jakobsen1947,reps
James1914,reps
James1885,reps
Jarman1923,reps
Jeanes1958,reps
Jenkins1925,reps
Jenkins1952,reps
Jennings1878,reps
Jensen1962,reps
Jensen1865,reps
Jess1922,reps
Jessop1927,reps
Johns1952,reps
Johnson1889,reps
Johnson1929,reps
Johnson1924,reps
Johnson1970,reps
Johnson1943,reps
Johnson1862,reps
Johnson1871,reps
Johnston1930,reps
Johnston1943,reps
Jolley1874,reps
Jolly1882,reps
Jones1944,reps
Jones1932,reps
Jones1917,reps
Jones1960,reps
Jones1878,reps
Jones1965,reps
Joshua1906,reps
Joske1895,reps
Jowett1858,reps
Joyce1967,reps
Jull1944,reps
Katter1945,reps
Katter1918,reps
Keane1882,reps
Kearney1963,reps
Kearney1903,reps
Keating1944,reps
Keay1975,reps
Keenan1972,reps
Kekwick1910,reps
Kelly1912,reps
Kelly1963,reps
Kelly1954,reps
Kelly1964,reps
Kelly1960,reps
Kelly1948,reps
Kelly1877,reps
Kemp1941,reps
Kendell1851,reps
Kennedy1940,reps
Kennedy1860,reps
Kent Hughes1895,reps
Kent1927,reps
Keogh1931,reps
Keogh1981,reps
Keon1915,reps
Kerby1885,reps
Kerin1937,reps
Kernot1948,reps
Kerr1952,reps
Khalil1973,reps
Killen1925,reps
Killen1860,reps
King1966,reps
King1973,reps
King1952,reps
King1920,reps
Kingston1850,reps
Kirwan1937,reps
Kirwan1869,reps
Klugman1924,reps
Knott1956,reps
Knox1850,reps
Lacey1887,reps
Lamb1939,reps
Lamb1972,reps
Lambert1885,reps
Laming1966,reps
Lamond1865,reps
Landry1962,reps
Lane1873,reps
Lang1876,reps
Langmore1939,reps
Langtry1880,reps
Latham1877,reps
Latham1961,reps
Laundy1971,reps
Lavarch1961,reps
Lavelle1887,reps
Lawler1961,reps
Lawrence1948,reps
Lawrence1906,reps
Lawson1880,reps
Lawson1897,reps
Lazzarini1894,reps
Leckie1872,reps
Lee1856,reps
Lee1920,reps
Lee1957,reps
Leeser1976,reps
Leigh1972,reps
Lemmon1908,reps
Leslie1900,reps
Lewis1882,reps
Ley1961,reps
Ley1879,reps
Liddell1862,reps
Lieberman1938,reps
Lindsay1942,reps
Lindsay1944,reps
Lindsay1905,reps
Lister1875,reps
Littleproud1976,reps
Livermore1969,reps
Livingston1856,reps
Lloyd1937,reps
Lloyd1954,reps
Long1885,reps
Lonsdale1843,reps
Luchetti1904,reps
Luck1900,reps
Lucock1916,reps
Lusher1945,reps
Lynch1862,reps
Lynch1933,reps
Lyne1844,reps
Lyons1897,reps
Lyons1953,reps
Lyons1879,reps
McArthur1937,reps
McBride1975,reps
McBride1892,reps
McCall1908,reps
McCay1864,reps
McClelland1875,reps
